18191029  1819.828   ?  
18191030  1819.830   ?  
18191031  1819.833   0  
181911 1  1819.836   0  
181911 2  1819.839   0  
181911 3  1819.841   0  
181911 4  1819.844   0  
181911 5  1819.847   0  
181911 6  1819.849  23  
181911 7  1819.852  23  
181911 8  1819.855   ?  
181911 9  1819.858  16  
18191110  1819.860   0  
18191111  1819.863   0  
18191112  1819.866   0  
18191113  1819.869   ?  
18191114  1819.871   ?  
18191115  1819.874   ?  
18191116  1819.877   ?  
18191117  1819.880   ?  
18191118  1819.882  82  
18191119  1819.885   ?  
18191120  1819.888  56  
18191121  1819.891  46  
18191122  1819.893  44  
18191123  1819.896  66  
18191124  1819.899  56  
18191125  1819.901  33  
18191126  1819.904   ?  
18191127  1819.907  32  
18191128  1819.910   ?  
18191129  1819.912   ?  
18191130  1819.915   ?  
181912 1  1819.918  32  
181912 2  1819.921   ?  
181912 3  1819.923  19  
181912 4  1819.926  35  
181912 5  1819.929   ?  
181912 6  1819.932   ?  
181912 7  1819.934   ?  
181912 8  1819.937  32  
181912 9  1819.940  35  
18191210  1819.943  35  
18191211  1819.945  32  
18191212  1819.948   ?  
18191213  1819.951  36  
18191214  1819.953  31  
18191215  1819.956   ?  
18191216  1819.959  32  
18191217  1819.962   ?  
18191218  1819.964  31  
18191219  1819.967   ?  
18191220  1819.970  15  
18191221  1819.973   ?  
18191222  1819.975  17  
18191223  1819.978  20  
18191224  1819.981  43  
18191225  1819.984  47  
18191226  1819.986  51  
18191227  1819.989   ?  
18191228  1819.992   ?  
18191229  1819.995  21  
18191230  1819.997  33  
18191231  1820.000  15  
1820 1 1  1820.003  17  
1820 1 2  1820.005   ?  
1820 1 3  1820.008   0  
1820 1 4  1820.011   0  
1820 1 5  1820.014   0  
1820 1 6  1820.016   0  
1820 1 7  1820.019   0  
1820 1 8  1820.022   0  
1820 1 9  1820.025   0  
1820 110  1820.027   ?  
1820 111  1820.030   ?  
1820 112  1820.033   ?  
1820 113  1820.036  15  
1820 114  1820.038   ?  
1820 115  1820.041  29  
1820 116  1820.044   ?  
1820 117  1820.047   ?  
1820 118  1820.049   ?  
1820 119  1820.052   ?  
1820 120  1820.055  15  
1820 121  1820.057   ?  
1820 122  1820.060  15  
1820 123  1820.063  49  
1820 124  1820.066  46  
1820 125  1820.068  53  
1820 126  1820.071  22  
1820 127  1820.074  39  
1820 128  1820.077   ?  
1820 129  1820.079  33  
1820 130  1820.082   ?  
1820 131  1820.085  32  
1820 2 1  1820.088  19  
1820 2 2  1820.090  19  
1820 2 3  1820.093   ?  
1820 2 4  1820.096   ?  
1820 2 5  1820.099   ?  
1820 2 6  1820.101   ?  
1820 2 7  1820.104   ?  
1820 2 8  1820.107   ?  
1820 2 9  1820.109  43  
1820 210  1820.112  38  
1820 211  1820.115   ?  
1820 212  1820.118   ?  
1820 213  1820.120  29  
1820 214  1820.123  33  
1820 215  1820.126  32  
1820 216  1820.129  50  
1820 217  1820.131  29  
1820 218  1820.134  15  
1820 219  1820.137   ?  
1820 220  1820.140   ?  
1820 221  1820.142  15  
1820 222  1820.145  15  
1820 223  1820.148   ?  
1820 224  1820.151   ?  
1820 225  1820.153   ?  
1820 226  1820.156   ?  
1820 227  1820.159  20  
1820 228  1820.161  16  
1820 229  1820.164   ?  
1820 3 1  1820.167   0  
1820 3 2  1820.170   0  
1820 3 3  1820.172   0  
1820 3 4  1820.175   0  
1820 3 5  1820.178   0  
1820 3 6  1820.181   0  
1820 3 7  1820.183   0  
1820 3 8  1820.186   0  
1820 3 9  1820.189   0  
1820 310  1820.192   0  
1820 311  1820.194   0  
1820 312  1820.197   0  
1820 313  1820.200   0  
1820 314  1820.203   0  
1820 315  1820.205   0  
1820 316  1820.208  16  
1820 317  1820.211  17  
1820 318  1820.214  46  
1820 319  1820.216   ?  
1820 320  1820.219  24  
1820 321  1820.222   ?  
1820 322  1820.224   ?  
1820 323  1820.227   ?  
1820 324  1820.230   ?  
1820 325  1820.233   ?  
1820 326  1820.235   ?  
1820 327  1820.238   ?  
1820 328  1820.241   0  
1820 329  1820.244   0  
1820 330  1820.246   0  
1820 331  1820.249   0  
1820 4 1  1820.252   0  
1820 4 2  1820.255   0  
1820 4 3  1820.257   0  
1820 4 4  1820.260   0  
1820 4 5  1820.263   0  
1820 4 6  1820.266   ?  
1820 4 7  1820.268  31  
1820 4 8  1820.271  31  
1820 4 9  1820.274  15  
1820 410  1820.276   ?  
1820 411  1820.279  15  
1820 412  1820.282   ?  
1820 413  1820.285   ?  
1820 414  1820.287  38  
1820 415  1820.290  60  
1820 416  1820.293  40  
1820 417  1820.296  35  
1820 418  1820.298  29  
1820 419  1820.301  29  
1820 420  1820.304  15  
1820 421  1820.307  15  
1820 422  1820.309  15  
1820 423  1820.312   ?  
1820 424  1820.315   ?  
1820 425  1820.318   ?  
1820 426  1820.320   ?  
1820 427  1820.323   ?  
1820 428  1820.326   ?  
1820 429  1820.328   0  
1820 430  1820.331   ?  
1820 5 1  1820.334   ?  
1820 5 2  1820.337   ?  
1820 5 3  1820.339   ?  
1820 5 4  1820.342   ?  
1820 5 5  1820.345  15  
1820 5 6  1820.348  15  
1820 5 7  1820.350  15  
1820 5 8  1820.353   ?  
1820 5 9  1820.356  40  
1820 510  1820.359  36  
1820 511  1820.361  36  
1820 512  1820.364  58  
1820 513  1820.367  56  
1820 514  1820.370  60  
1820 515  1820.372  42  
1820 516  1820.375  19  
1820 517  1820.378  23  
1820 518  1820.381  20  
1820 519  1820.383  16  
1820 520  1820.386  16  
1820 521  1820.389  17  
1820 522  1820.391  16  
1820 523  1820.394   ?  
1820 524  1820.397   ?  
1820 525  1820.400   ?  
1820 526  1820.402   ?  
1820 527  1820.405   ?  
1820 528  1820.408   ?  
1820 529  1820.411  20  
1820 530  1820.413  35  
1820 531  1820.416  32  
1820 6 1  1820.419  31  
1820 6 2  1820.422  20  
1820 6 3  1820.424  15  
1820 6 4  1820.427   0  
1820 6 5  1820.430   0  
1820 6 6  1820.433   0  
1820 6 7  1820.435   0  
1820 6 8  1820.438   0  
1820 6 9  1820.441   0  
1820 610  1820.443   0  
1820 611  1820.446   0  
1820 612  1820.449   0  
1820 613  1820.452   0  
1820 614  1820.454   0  
1820 615  1820.457   0  
1820 616  1820.460   0  
1820 617  1820.463   0  
1820 618  1820.465  15  
1820 619  1820.468  15  
1820 620  1820.471  15  
1820 621  1820.474   ?  
1820 622  1820.476   ?  
1820 623  1820.479   ?  
1820 624  1820.482   ?  
1820 625  1820.485  31  
1820 626  1820.487  32  
1820 627  1820.490  44  
1820 628  1820.493  36  
1820 629  1820.496   ?  
1820 630  1820.498  15  
1820 7 1  1820.501  15  
1820 7 2  1820.504   ?  
1820 7 3  1820.506  15  
1820 7 4  1820.509   ?  
1820 7 5  1820.512  15  
1820 7 6  1820.515   ?  
1820 7 7  1820.517   ?  
1820 7 8  1820.520   ?  
1820 7 9  1820.523   ?  
1820 710  1820.526   ?  
1820 711  1820.528   0  
1820 712  1820.531   ?  
1820 713  1820.534   ?  
1820 714  1820.537   ?  
1820 715  1820.539   ?  
1820 716  1820.542   ?  
1820 717  1820.545   ?  
1820 718  1820.548   ?  
1820 719  1820.550  17  
